"oa_id","oa_date","ordinary"
"OA16760517","1676-05-17","Samuel Smith"
"OA16760705","1676-07-05","Samuel Smith"
"OA16760830","1676-08-30","Samuel Smith"
"OA16761025","1676-10-25","Samuel Smith"
"OA16770316","1677-03-16","Samuel Smith"
"OA16770504","1677-05-04","Samuel Smith"
"OA16771017","1677-10-17","Samuel Smith"
"OA16771219","1677-12-19","Samuel Smith"
"OA16780123","1678-01-23","Samuel Smith"
"OA16780306","1678-03-06","Samuel Smith"
"OA16780417","1678-04-17","Samuel Smith"
"OA16780522","1678-05-22","Samuel Smith"
"OA16780906","1678-09-06","Samuel Smith"
"OA16781216","1678-12-16","Samuel Smith"
"OA16790121","1679-01-21","Samuel Smith"
"OA16790122","1679-01-22","Samuel Smith"
"OA16790307","1679-03-07","Samuel Smith"
"OA16790509","1679-05-09","Samuel Smith"
"OA16791024","1679-10-24","Samuel Smith"
"OA16791219","1679-12-19","Samuel Smith"
"OA16800121","1680-01-21","Samuel Smith"
"OA16801027","1680-10-27","Samuel Smith"
"OA16840523","1684-05-23","Samuel Smith"
"OA16840526","1684-05-26","Samuel Smith"
"OA16840710","1684-07-10","Samuel Smith"
"OA16840917","1684-09-17","Samuel Smith"
"OA16841017","1684-10-17","Samuel Smith"
"OA16841217","1684-12-17","Samuel Smith"
"OA16841219","1684-12-19","Samuel Smith"
"OA16850304","1685-03-04","Samuel Smith"
"OA16850506","1685-05-06","Samuel Smith"
"OA16850506A","1685-05-06","Samuel Smith"
"OA16850610","1685-06-10","Samuel Smith"
"OA16850724","1685-07-24","Samuel Smith"
"OA16850904","1685-09-04","Samuel Smith"
"OA16851023","1685-10-23","Samuel Smith"
"OA16851216","1685-12-16","Samuel Smith"
"OA16860120","1686-01-20","Samuel Smith"
"OA16860528","1686-05-28","Samuel Smith"
"OA16860602","1686-06-02","Samuel Smith"
"OA16860917","1686-09-17","Samuel Smith"
"OA16861025","1686-10-25","Samuel Smith"
"OA16861217","1686-12-17","Samuel Smith"
"OA16870127","1687-01-27","Samuel Smith"
"OA16870413","1687-04-13","Samuel Smith"
"OA16870525","1687-05-25","Samuel Smith"
"OA16870715","1687-07-15","Samuel Smith"
"OA16871216","1687-12-16","Samuel Smith"
"OA16890531","1689-05-31","Samuel Smith"
"OA16890715","1689-07-15","Samuel Smith"
"OA16891023","1689-10-23","Samuel Smith"
"OA16891221","1689-12-21","Samuel Smith"
"OA16900509","1690-05-09","Samuel Smith"
"OA16900613","1690-06-13","Samuel Smith"
"OA16900723","1690-07-23","Samuel Smith"
"OA16900912","1690-09-12","Samuel Smith"
"OA16901024","1690-10-24","Samuel Smith"
